City,District,Province,Type,Size m2,Bedrooms,Bathrooms,Price $,Latitude,Longitude
Bchelli,Jbeil,Mount Lebanon,Apartment,170,3,3,145000,34.1236,35.6455
Bsalim,El Metn,Mount Lebanon,Apartment,150,3,3,260000,33.9006,35.6178
Fidar,Jbeil,Mount Lebanon,Chalet,100,2,2,200000,34.1236,35.6455
Down Town,Beirut,Beirut,Apartment,445,3,3,3785000,33.8886,35.4955
Down Town,Beirut,Beirut,Apartment,251,2,2,1835000,33.8886,35.4955
Down Town,Beirut,Beirut,Apartment,300,2,3,2250000,33.8886,35.4955
Down Town,Beirut,Beirut,Apartment,251,2,2,1885000,33.8886,35.4955
Klayaat,Kesrouane,Mount Lebanon,Land,190,3,3,185000,33.9808,35.6856
Zalka,El Metn,Mount Lebanon,Apartment,220,3,4,350000,33.9006,35.6178
Mansourieh,El Metn,Mount Lebanon,Apartment,220,3,3,158000,33.9006,35.6178
Kaslik,Kesrouane,Mount Lebanon,Chalet,60,1,1,270000,33.9808,35.6856
Ajaltoun,Kesrouane,Mount Lebanon,Apartment,225,3,4,275000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,200,3,3,350000,33.8886,35.4955
Madfoun,Batroun,North,Land,765,0,0,353000,34.2556,35.6586
Blat,Jbeil,Mount Lebanon,Land,595,0,0,125000,34.1236,35.6455
Shayle,Kesrouane,Mount Lebanon,Apartment,390,8,0,480000,33.9808,35.6856
Mansourieh,El Metn,Mount Lebanon,Apartment,175,3,3,185000,33.9006,35.6178
Ghedras,Kesrouane,Mount Lebanon,Residential Building,200,0,0,875000,33.9808,35.6856
Bikfaya,El Metn,Mount Lebanon,Apartment,455,3,3,600000,33.9006,35.6178
Halat,Jbeil,Mount Lebanon,Apartment,170,3,4,205000,34.1236,35.6455
Achrafieh,Beirut,Beirut,Apartment,235,3,3,880000,33.8886,35.4955
Rawda,El Metn,Mount Lebanon,Warehouse,350,1,0,225000,33.9006,35.6178
Dbayeh,El Metn,Mount Lebanon,Office,84,1,0,285000,33.9006,35.6178
Dbayeh,El Metn,Mount Lebanon,Office,86,1,0,290000,33.9006,35.6178
Betchay,Baabda,Mount Lebanon,Apartment,160,3,3,170000,33.8333,35.5442
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,220,3,4,300000,33.9808,35.6856
Hadath,Baabda,Mount Lebanon,Apartment,212,3,3,210000,33.8333,35.5442
Hadath,Baabda,Mount Lebanon,Apartment,155,3,2,130000,33.8333,35.5442
Ballouneh,Kesrouane,Mount Lebanon,Apartment,100,2,3,105000,33.9808,35.6856
Zahle,Zahle,Bekaa,Apartment,79,1,1,800000,33.8461,35.9042
Achkout,Kesrouane,Mount Lebanon,Land,800,0,0,450000,33.9808,35.6856
Down Town,Beirut,Beirut,Apartment,270,3,4,1100000,33.8886,35.4955
Mayrouba,Kesrouane,Mount Lebanon,Apartment,160,3,3,140000,33.9808,35.6856
Qannabet Broumana,El Metn,Mount Lebanon,Apartment,135,2,2,130000,33.9006,35.6178
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,250,4,4,450000,33.9808,35.6856
Fanar,El Metn,Mount Lebanon,Apartment,195,3,3,325000,33.9006,35.6178
Batroun,Batroun,North,Chalet,70,1,0,90000,34.2556,35.6586
Batroun,Batroun,North,Chalet,115,2,2,150000,34.2556,35.6586
Batroun,Batroun,North,Chalet,85,1,1,110000,34.2556,35.6586
Batroun,Batroun,North,Chalet,75,1,1,98000,34.2556,35.6586
Rabieh,El Metn,Mount Lebanon,Residential Building,170,0,0,4200000,33.9006,35.6178
Ras Beirut,Beirut,Beirut,Apartment,230,3,2,400000,33.8886,35.4955
Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,115,2,2,140000,33.9006,35.6178
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,250,3,3,462000,33.9808,35.6856
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,440,4,6,545000,33.9808,35.6856
Aamchit,Jbeil,Mount Lebanon,Apartment,128,2,2,165000,34.1236,35.6455
Aamchit,Jbeil,Mount Lebanon,House/Villa,200,7,8,1200000,34.1236,35.6455
Dekweneh,El Metn,Mount Lebanon,Apartment,270,3,4,300000,33.9006,35.6178
Beit Meri,El Metn,Mount Lebanon,Apartment,215,3,4,300000,33.9006,35.6178
Mar Mikhael,Beirut,Beirut,Apartment,120,2,2,250000,33.8886,35.4955
Dekweneh,El Metn,Mount Lebanon,Land,730,0,0,2200000,33.9006,35.6178
Batroun,Batroun,North,Apartment,113,1,2,165000,34.2556,35.6586
Bentaael,Jbeil,Mount Lebanon,House/Villa,200,2,2,330000,34.1236,35.6455
Jdeideh,El Metn,Mount Lebanon,Office,314,1,0,346000,33.9006,35.6178
Jdeideh,El Metn,Mount Lebanon,Shop,49,1,0,310000,33.9006,35.6178
Adma,Kesrouane,Mount Lebanon,Land,465,0,0,3350000,33.9808,35.6856
Jdeideh,El Metn,Mount Lebanon,Apartment,76,1,1,175000,33.9006,35.6178
Jdeideh,El Metn,Mount Lebanon,Apartment,118,2,2,190000,33.9006,35.6178
Jdeideh,El Metn,Mount Lebanon,Apartment,118,2,2,210000,33.9006,35.6178
Batroun,Batroun,North,Land,0,0,0,1600000,34.2556,35.6586
Ghadir,Kesrouane,Mount Lebanon,Shop,66,1,0,200000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,250,3,4,825000,33.8886,35.4955
Bikfaya,El Metn,Mount Lebanon,House/Villa,500,0,0,750000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Shop,190,1,0,650000,33.8886,35.4955
kfarhbeib,Kesrouane,Mount Lebanon,Land,220,0,0,800000,33.9808,35.6856
Bsalim,El Metn,Mount Lebanon,Apartment,200,3,3,250000,33.9006,35.6178
Aabrine,Batroun,North,Land,550,0,0,140000,34.2556,35.6586
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,200,3,4,400000,33.9808,35.6856
Down Town,Beirut,Beirut,Apartment,375,3,4,2500000,33.8886,35.4955
Mar Mikhael,Beirut,Beirut,Land,456,0,0,1300000,33.8886,35.4955
Bsalim,El Metn,Mount Lebanon,Apartment,130,2,2,265000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,330,3,4,1300000,33.8886,35.4955
Mansourieh,El Metn,Mount Lebanon,Apartment,416,4,5,570000,33.9006,35.6178
Zaarour,El Metn,Mount Lebanon,Land,600,0,0,210000,33.9006,35.6178
Ghalboun,Jbeil,Mount Lebanon,Land,0,0,0,600000,34.1236,35.6455
Dekweneh,El Metn,Mount Lebanon,Apartment,120,2,2,150000,33.9006,35.6178
Zouk Mosbeh,Kesrouane,Mount Lebanon,Apartment,80,2,0,75000,33.9808,35.6856
Qornet El Hamra,El Metn,Mount Lebanon,Apartment,154,3,3,237000,33.9006,35.6178
Adonis,Kesrouane,Mount Lebanon,Apartment,170,3,4,160000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Office,550,4,0,2000000,33.8886,35.4955
Yarzeh,Baabda,Mount Lebanon,Apartment,255,3,5,620000,33.8333,35.5442
Down Town,Beirut,Beirut,Apartment,231,3,3,1500000,33.8886,35.4955
Broumana,El Metn,Mount Lebanon,Apartment,575,4,6,850000,33.9006,35.6178
Baabda,Baabda,Mount Lebanon,Apartment,320,3,5,850000,33.8333,35.5442
Mar Takla,Baabda,Mount Lebanon,Apartment,320,4,5,585000,33.8333,35.5442
Ain Al Remmane,Baabda,Mount Lebanon,Apartment,107,2,2,100000,33.8333,35.5442
Jounieh,Kesrouane,Mount Lebanon,Chalet,60,1,1,90000,33.9808,35.6856
Laqlouq,Jbeil,Mount Lebanon,Chalet,180,3,3,265000,34.1236,35.6455
Laqlouq,Jbeil,Mount Lebanon,Chalet,113,2,2,143000,34.1236,35.6455
Achrafieh,Beirut,Beirut,Apartment,250,3,5,850000,33.8886,35.4955
Ras Beirut,Beirut,Beirut,Apartment,275,3,4,690000,33.8886,35.4955
Mar Moussa,El Metn,Mount Lebanon,House/Villa,340,6,9,2300000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,110,2,1,190000,33.8886,35.4955
Faytroun,Kesrouane,Mount Lebanon,Land,195,0,0,1100000,33.9808,35.6856
Jbeil,Jbeil,Mount Lebanon,Apartment,170,3,3,180000,34.1236,35.6455
Shayle,Kesrouane,Mount Lebanon,Apartment,168,3,3,235000,33.9808,35.6856
Hsoun,Jbeil,Mount Lebanon,Commercial Building,125,3,0,1000000,34.1236,35.6455
Haret Sakher,Kesrouane,Mount Lebanon,Chalet,95,3,2,350000,33.9808,35.6856
Mayrouba,Kesrouane,Mount Lebanon,Land,365,0,0,155000,33.9808,35.6856
Baabdat,El Metn,Mount Lebanon,Land,417,0,0,2000000,33.9006,35.6178
Hsoun,Jbeil,Mount Lebanon,Warehouse,345,3,0,372000,34.1236,35.6455
Berbara,Batroun,North,Land,850,0,0,470000,34.2556,35.6586
Fakra,Kesrouane,Mount Lebanon,Chalet,200,3,3,310000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,220,3,2,360000,33.8886,35.4955
Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,135,2,2,125000,33.9006,35.6178
Gemayzeh,Beirut,Beirut,Apartment,160,2,2,280000,33.8886,35.4955
Zaarour,El Metn,Mount Lebanon,Chalet,110,3,2,365000,33.9006,35.6178
Hboub,Jbeil,Mount Lebanon,Apartment,160,3,3,155000,34.1236,35.6455
Dekweneh,El Metn,Mount Lebanon,Apartment,300,3,3,325000,33.9006,35.6178
Gherfine,Jbeil,Mount Lebanon,Land,432,0,0,645000,34.1236,35.6455
Fakra,Kesrouane,Mount Lebanon,Chalet,190,3,3,880000,33.9808,35.6856
Baabdat,El Metn,Mount Lebanon,Land,300,0,0,235000,33.9006,35.6178
Baabdat,El Metn,Mount Lebanon,Land,900,0,0,340000,33.9006,35.6178
Gemayzeh,Beirut,Beirut,Apartment,310,4,5,1100000,33.8886,35.4955
Rawche,Beirut,Beirut,Apartment,535,4,5,3500000,33.8886,35.4955
Laqlouq,Jbeil,Mount Lebanon,Land,5,0,0,165000,34.1236,35.6455
Adma,Kesrouane,Mount Lebanon,Apartment,200,2,3,310000,33.9808,35.6856
Aamchit,Jbeil,Mount Lebanon,Apartment,150,3,2,110000,34.1236,35.6455
Blat,Jbeil,Mount Lebanon,Apartment,248,3,4,160000,34.1236,35.6455
Blat,Jbeil,Mount Lebanon,Apartment,248,3,4,175000,34.1236,35.6455
Achkout,Kesrouane,Mount Lebanon,Apartment,170,2,1,150000,33.9808,35.6856
Ghadir,Kesrouane,Mount Lebanon,Apartment,170,3,3,185000,33.9808,35.6856
