City,Avg Price $,Median Price $,Max Price $,Min Price $,Listings Count
Kniseh (Baabda),149000,149000,149000,149000,1
Koraytem,579333,560000,1550000,220000,15
Kornet Chehwan,488873,350000,2335000,100000,95
Koura,93000,93000,93000,93000,1
Kousba,83000,83000,83000,83000,1
Laqlouq,252421,175000,700000,57000,19
Lehfed,185000,135000,310000,110000,3
Louaize,660000,660000,850000,470000,2
Louaizeh,668384,340000,6500000,200000,39
Maaysra,157666,158000,166000,149000,3
Maaysrah,310000,310000,310000,310000,1
Mahmerch,145000,145000,145000,145000,1
Majdel Tarchich,45000,45000,45000,45000,1
Majdla,350000,350000,350000,350000,1
Manara (Beirut),1562857,1200000,2750000,640000,7
Mansourieh,327749,229499,5000000,70000,140
Mar Chaaya,571769,444999,5000000,160000,26
Mar Elias,408863,420000,600000,160000,22
Mar Mikhael,569523,530000,1400000,170000,21
Mar Moussa,233000,233000,306000,160000,2
Mar Moussa El Douar,216249,182500,349999,150000,4
Mar Roukoz,235106,222500,389999,104999,14
Mar Takla,438000,380000,725000,280000,5
Masqa,168666,160000,206000,140000,3
Mastita,207999,130000,540000,105000,5
Mayrouba,582499,582499,1080000,84999,2
Mazraa,354999,239999,650000,175000,3
Mazraat Yachouh,331113,250000,2800000,87000,53
Mechmech,175454,90000,600000,40000,11
Mezher,450833,484999,735000,180000,6
Monot,1600000,1600000,1600000,1600000,1
Monsef,510000,510000,750000,270000,2
Monteverde,813531,512500,9000000,155000,84
Mrouj,851000,851000,851000,851000,1
Msaytbeh,483333,500000,515000,435000,3
Mtayleb,629574,587500,3200000,163000,108
Mtein,227500,227500,280000,175000,2
Naas,843500,843500,1000000,687000,2
Nabay,696055,177500,6790000,95000,18
Nabey,403333,215000,1300000,155000,6
Naccache,763333,300000,2500000,230000,6
Nahr El Mot,420000,420000,420000,420000,1
Nahr Ibrahim,314999,280000,550000,134999,5
Nakabet Atebba,250000,250000,250000,250000,1
Naqqache,474454,315000,3500000,110000,55
New Mar Takla,580714,500000,1200000,360000,7
New Rawda,130599,117499,250000,64999,10
Nowayri,202000,195000,300000,150000,5
Ouyoun Al Simen,659999,350000,5000000,135000,27
Ouyoun Broummana,376079,334999,749999,125000,25
Qalaa,540000,540000,540000,540000,1
Qannabet Broumana,346875,290000,675000,235000,8
Qartaba,600000,600000,600000,600000,1
Qartaboun,540000,200000,1250000,170000,3
Qennabet Baabdat,237444,180000,650000,135000,9
Qennabet Broummana,499999,560000,720000,114999,15
Qornet El Hamra,521400,169000,3000000,105000,15
Qortada,215000,260000,270000,115000,3
Qortadah,180000,180000,180000,180000,1
Raashine,120000,120000,120000,120000,1
Rabieh,1831655,1100000,15000000,230000,116
Rabweh,395191,335000,1950000,95000,79
Ramlet al-Baydah,1349166,1050000,3750000,700000,18
Ras Beirut,1409468,882500,6900000,160000,32
Ras El Nabeh,521599,430000,1500000,85000,25
Ras Maska,162857,160000,185000,140000,7
Ras Osta,127600,100000,300000,48000,5
Rawche,2939583,3049999,10000000,550000,24
Rayfoun,2799999,2799999,2799999,2799999,1
Rechdibbine,100000,100000,100000,100000,1
Rihaniyeh,1050000,1050000,1450000,650000,2
Rmeil,769000,769000,769000,769000,1
Roumie,686666,500000,1240000,320000,3
Roumieh,344285,270000,850000,230000,7
Sabtiyeh,602599,155000,2199999,133000,5
Sad El Baouchriyeh,147499,127500,249999,85000,4
Safra,219444,125000,600000,73000,9
Sahel Alma,503078,380000,3600000,130000,51
Saifi,1282486,899000,6900000,270000,37
Saifi Village,567500,567500,800000,335000,2
Saint Nicolas,1283333,1150000,1700000,1000000,3
Salim Slam,251000,250000,335000,120000,5
Salima,320000,320000,320000,320000,1
Sanayeh,634999,580000,1200000,334999,14
Sarba,583333,195000,2500000,70000,6
Sarba (Kesrouane),191285,160000,434000,100000,7
Sasine,1807826,2200000,2923480,300000,3
Sassine,2594560,1550000,6288240,990000,4
Saydeh,900000,900000,900000,900000,1
Sehayleh,263347,205000,2000000,59999,72
Shayle,562500,282500,1500000,185000,4
Sin El Fil,818714,311000,4500000,100000,28
Sioufi,669606,500000,3000000,250000,33
Smar Jbail,380000,380000,380000,380000,1
Sodeco,1035000,1035000,1300000,770000,2
Spears,2641250,1400000,7000000,765000,4
St. Nicholas,1500000,1500000,1500000,1500000,1
Tabaris,733333,750000,750000,700000,3
Tabarja,1529374,344999,13000000,40000,16
Tannourine,600000,600000,600000,600000,1
Tarchich,92500,92500,120000,65000,2
Tariq El Jdideh,205000,180000,285000,150000,3
Tilal Ain Saade,202411,162000,410000,105000,17
Tripoli,121666,115000,165000,85000,3
Unesco,933333,950000,1050000,800000,3
Verdun,1668653,775000,21000000,330000,26
Wadi Chahrour,202856,154999,480000,89999,7
Wata El Joz,700000,317500,2200000,85000,6
Wetwait,360000,360000,360000,360000,1
Yahchouch,550000,550000,550000,550000,1
Yarzeh,1214155,925000,9000000,300000,105
Zaarour,268125,257000,680000,100000,16
Zabougha,200000,200000,200000,200000,1
Zahle,1465000,1465000,2500000,430000,2
Zahrieh,134999,134999,134999,134999,1
Zalka,232273,209999,1431999,949,51
Zandouqa,265000,265000,265000,265000,1
Zandouqah,215000,155000,400000,150000,4
Zaraoun,87500,87500,87500,87500,1
Zebdine,140000,110000,200000,110000,3
Zeitoun,100000,100000,100000,100000,1
Zikrit,159111,150000,375000,85000,18
Zouk El Kharab,450000,450000,450000,450000,1
Zouk Mikael,255649,174999,800000,67999,20
Zouk Mosbeh,221549,172499,800000,84999,20
Zoukak al Blat,875000,875000,900000,850000,2
abed al-wahab inglizi,1853333,1400000,4700000,320000,6
ain al-tineh,932500,700000,2000000,330000,4
chnaniir,2406250,2500000,4000000,625000,4
furn al-hayek,480000,480000,480000,480000,1
kfarhbeib,488750,425000,900000,275000,16
sakiet al-janzeer,614000,590000,1000000,300000,5
sursock,1918000,1000000,5500000,600000,5
tallet al-khayat,1215000,1350000,1500000,660000,4
